Directorio Archivo  Salida  Entropía
4 DBA1516P2GA.csv  2.16665 0.197809
4 DBA1516P2GB.csv  1.40777 0.174962
4 DBA1516P2GC.csv  0.56093 0.158083
4 DBA1516P2GD.csv  1.85857 0.189965
4 DBA1516P2GE.csv  1.09911 0.195838
4 DBA1516P2GF.csv  1.2954 0.185564
4 DBA1516P2GH.csv  1.14668 0.191247
4 DBA1516P2GI.csv  0.981205 0.192017
4 DBA1617P2GA.csv  0.790974 0.179428
4 DBA1617P2GB.csv  1.07514 0.197489
4 DBA1617P2GE.csv  1.08758 0.160303
4 DBA1617P2GF.csv  1.29192 0.17589
4 DBA1617P2GG.csv  1.09725 0.184818
4 DBA1617P2GI.csv  1.46013 0.17849
4 DBA1617P2GJ.csv  1.85997 0.201985
4 DBA1718P2GA.csv  1.71947 0.17439
4 DBA1718P2GB.csv  1.70963 0.202624
4 DBA1718P2GC.csv  1.50938 0.192098
4 DBA1718P2GD.csv  1.03491 0.192129
4 DBA1718P2GE.csv  1.40818 0.189807
4 DBA1718P2GG.csv  0.940569 0.158597
4 DBA1718P2GH.csv  1.93826 0.180142
4 DBA1920P2GB.csv  0.987554 0.173665
4 DBA1920P2GC.csv  0.964164 0.186817
4 DBA1920P2GD.csv  0.509747 0.172164
4 DBA1920P2GE.csv  0.929357 0.182617
4 DBA1920P2GF.csv  0.66768 0.199017
4 DBA1920P2GH.csv  1.27551 0.176526
4 DBA1920P2GI.csv  0.88504 0.170241
4 DBA1920P2GJ.csv  1.26327 0.198094
4 DBA1920P2GK.csv  0.802892 0.193923
4 DBA1920P2GL.csv  1.10671 0.200903
4 DBA1920P2GM.csv  0.685919 0.163679
4 DBA1920P2GN.csv  0.919125 0.215186
