Directorio Archivo  Salida  Entropía
3 Year1516MidLowGrades.csv  1.07204 0.292113
3 Year1516MidHighGrades.csv  1.17552 0.279952
3 Year1516HighGrades.csv  0.56367 0.278926
3 Year1617WorstGrades.csv  0.739231 0.321408
3 Year1617MidHighGrades.csv  0.677559 0.257101
3 Year1617HighGrades.csv  0.820369 0.287067
3 Year1718WorstGrades.csv  0.983628 0.295641
3 Year1718MidLowGrades.csv  0.660522 0.282311
3 Year1718MidHighGrades.csv  0.674498 0.212895
3 Year1920WorstGrades.csv  0.744285 0.295022
3 Year1920MidLowGrades.csv  0.590114 0.378996
3 Year1920MidHighGrades.csv  0.716135 0.367865
3 Year1920HighGrades.csv  0.339578 0.339635
