Directorio Archivo  Salida
3 Year1516MidLowGrades.csv  1.07204
3 Year1516MidHighGrades.csv  1.14985
3 Year1516HighGrades.csv  0.56367
3 Year1617WorstGrades.csv  0.739231
3 Year1617MidHighGrades.csv  0.677559
3 Year1617HighGrades.csv  0.820369
3 Year1718WorstGrades.csv  0.983628
3 Year1718MidLowGrades.csv  0.660522
3 Year1718MidHighGrades.csv  0.674498
3 Year1920WorstGrades.csv  0.744285
3 Year1920MidLowGrades.csv  0.563864
3 Year1920MidHighGrades.csv  0.676135
3 Year1920HighGrades.csv  0.339578
