Directorio Archivo  Salida  Entropía  Gradp
4 DBA1516P2GA.csv  2.16665 0.197809 0.860465
4 DBA1516P2GB.csv  1.40777 0.174962 0.977273
4 DBA1516P2GC.csv  0.56093 0.158083 0.954545
4 DBA1516P2GD.csv  1.85857 0.189965 0.951219
4 DBA1516P2GE.csv  1.09911 0.195838 0.888889
4 DBA1516P2GF.csv  1.2954 0.185564 0.930233
4 DBA1516P2GH.csv  1.14668 0.191247 0.888889
4 DBA1516P2GI.csv  0.981205 0.192017 0.883721
4 DBA1617P2GA.csv  0.790974 0.179428 0.933333
4 DBA1617P2GB.csv  1.07514 0.197489 0.888889
4 DBA1617P2GE.csv  1.08758 0.160303 0.954545
4 DBA1617P2GF.csv  1.29192 0.17589 0.933333
4 DBA1617P2GG.csv  1.09725 0.184818 0.866667
4 DBA1617P2GI.csv  1.46013 0.17849 0.909091
4 DBA1617P2GJ.csv  1.85997 0.201985 0.880952
4 DBA1718P2GA.csv  1.71947 0.17439 0.933333
4 DBA1718P2GB.csv  1.70963 0.202624 0.888889
4 DBA1718P2GC.csv  1.50938 0.192098 0.911111
4 DBA1718P2GD.csv  1.03491 0.192129 0.888889
4 DBA1718P2GE.csv  1.40818 0.189807 0.931818
4 DBA1718P2GG.csv  0.940569 0.158597 0.933333
4 DBA1718P2GH.csv  1.93826 0.180142 0.954545
4 DBA1920P2GB.csv  0.987554 0.173665 0.955556
4 DBA1920P2GC.csv  0.964164 0.186817 0.906977
4 DBA1920P2GD.csv  0.509747 0.172164 0.911111
4 DBA1920P2GE.csv  0.929357 0.182617 0.933333
4 DBA1920P2GF.csv  0.66768 0.199017 0.777778
4 DBA1920P2GH.csv  1.27551 0.176526 0.977778
4 DBA1920P2GI.csv  0.88504 0.170241 0.977778
4 DBA1920P2GJ.csv  1.26327 0.198094 0.928571
4 DBA1920P2GK.csv  0.802892 0.193923 0.933333
4 DBA1920P2GL.csv  1.10671 0.200903 0.928571
4 DBA1920P2GM.csv  0.685919 0.163679 0.977778
4 DBA1920P2GN.csv  0.919125 0.215186 0.977778
