Grupo       DAG
DBA1516P2GA 1.58532
DBA1516P2GB 1.29354
DBA1516P2GC 0.474121
DBA1516P2GD 1.38947
DBA1516P2GE 0.890045
DBA1516P2GF 1.21028
DBA1516P2GH 0.696163
DBA1516P2GI 0.810065
DBA1617P2GA 0.684581
DBA1617P2GB 0.957016
DBA1617P2GE 0.923023
DBA1617P2GF 1.01975
DBA1617P2GG 0.926597
DBA1617P2GI 1.11464
DBA1617P2GJ 0.902772
DBA1718P2GA 1.54833
DBA1718P2GB 0.921969
DBA1718P2GC 1.22776
DBA1718P2GD 0.722532
DBA1718P2GE 1.18102
DBA1718P2GG 0.849192
DBA1718P2GH 1.82293
DBA1920P2GB 0.985004
DBA1920P2GC 0.893033
DBA1920P2GD 0.48692
DBA1920P2GE 0.729466
DBA1920P2GF 0.52848
DBA1920P2GH 1.01358
DBA1920P2GI 0.72651
DBA1920P2GJ 1.06381
DBA1920P2GK 0.689077
DBA1920P2GL 0.712412
DBA1920P2GM 0.482265
DBA1920P2GN 0.723274
