Nodes 16
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM3-20,PROBLEM3-40,PROBLEM6-20,PROBLEM6-40,PROBLEM6-60,PROBLEM9-20,PROBLEM9-40,PROBLEM9-60,PROBLEM4-20,PROBLEM8-20,PROBLEM8-40,PROBLEM8-60,START,END
PROBLEM1-20,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,19
PROBLEM1-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
PROBLEM3-20,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM3-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
PROBLEM6-20,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,14
PROBLEM6-40,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
PROBLEM6-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
PROBLEM9-20,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
PROBLEM9-40,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,14
PROBLEM9-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
PROBLEM4-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
PROBLEM8-20,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
PROBLEM8-40,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
PROBLEM8-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
START,48,0,38,0,49,0,0,50,0,4,31,37,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Duration
,PROBLEM1-20,PROBLEM1-40,PROBLEM3-20,PROBLEM3-40,PROBLEM6-20,PROBLEM6-40,PROBLEM6-60,PROBLEM9-20,PROBLEM9-40,PROBLEM9-60,PROBLEM4-20,PROBLEM8-20,PROBLEM8-40,PROBLEM8-60,START,END
PROBLEM1-20,0,2134000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM3-20,0,0,0,338000,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM3-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0
PROBLEM6-40,0,0,0,0,0,0,1221000,0,0,0,0,0,0,0,0,0
PROBLEM6-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM9-20,0,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0
PROBLEM9-40,0,0,0,0,0,0,0,0,0,130000,0,0,0,0,0,0
PROBLEM9-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM4-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM8-20,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0
PROBLEM8-40,0,0,0,0,0,0,0,0,0,0,0,0,0,112000,0,0
PROBLEM8-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
