Nodes 12
Total Frequency
,PROBLEM1-80,PROBLEM1-100,PROBLEM2-20,PROBLEM2-40,PROBLEM2-80,PROBLEM2-60,PROBLEM9-20,PROBLEM9-40,PROBLEM1-20,PROBLEM1-40,START,END
PROBLEM1-80,0,255,0,0,0,0,0,0,0,0,0,0
PROBLEM1-100,45,0,0,0,0,0,0,0,0,0,0,0
PROBLEM2-20,0,0,0,348,0,0,0,0,0,0,0,0
PROBLEM2-40,0,0,0,0,207,31,0,0,0,0,0,0
PROBLEM2-80,0,0,0,0,0,186,0,0,0,0,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,0,0,66
PROBLEM9-20,0,0,0,0,0,0,0,206,0,0,0,0
PROBLEM9-40,0,0,0,0,0,0,0,0,0,0,0,29
PROBLEM1-20,0,0,0,0,0,0,0,0,0,477,0,464
PROBLEM1-40,221,0,0,0,0,0,0,0,0,0,0,0
START,0,0,499,0,0,4,219,0,941,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-80,PROBLEM1-100,PROBLEM2-20,PROBLEM2-40,PROBLEM2-80,PROBLEM2-60,PROBLEM9-20,PROBLEM9-40,PROBLEM1-20,PROBLEM1-40,START,END
PROBLEM1-80,0,3805000,0,0,0,0,0,0,0,0,0,0
PROBLEM1-100,2624000,0,0,0,0,0,0,0,0,0,0,0
PROBLEM2-20,0,0,0,576000,0,0,0,0,0,0,0,0
PROBLEM2-40,0,0,0,0,4565000,2624000,0,0,0,0,0,0
PROBLEM2-80,0,0,0,0,0,1740000,0,0,0,0,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM9-20,0,0,0,0,0,0,0,93000,0,0,0,0
PROBLEM9-40,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM1-20,0,0,0,0,0,0,0,0,0,2876000,0,0
PROBLEM1-40,10384000,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
