Nodes 12
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM6-20,PROBLEM1-80,PROBLEM1-100,PROBLEM2-20,PROBLEM2-40,PROBLEM8-20,PROBLEM9-20,PROBLEM9-40,START,END
PROBLEM1-20,0,1149,0,0,2,0,0,0,0,0,0,951
PROBLEM1-40,0,0,0,273,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,0,0,0,0,0,0,30
PROBLEM1-80,0,0,0,0,357,0,0,0,0,0,0,0
PROBLEM1-100,0,0,0,157,0,0,0,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,585,0,0,0,0,0
PROBLEM2-40,0,0,0,0,0,0,2,0,0,0,0,332
PROBLEM8-20,0,0,0,0,0,0,0,0,0,0,0,75
PROBLEM9-20,0,0,0,0,0,0,0,0,0,333,0,0
PROBLEM9-40,0,0,0,0,0,0,0,0,0,0,0,33
START,2104,0,334,5,5,707,0,338,374,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM6-20,PROBLEM1-80,PROBLEM1-100,PROBLEM2-20,PROBLEM2-40,PROBLEM8-20,PROBLEM9-20,PROBLEM9-40,START,END
PROBLEM1-20,0,1165000,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,0,39917000,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,583000,0,0,0,0,0,0,0
PROBLEM1-100,0,0,0,1705000,0,0,0,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,348000,0,0,0,0,0
PROBLEM2-40,0,0,0,0,0,0,16000,0,0,0,0,0
PROBLEM8-20,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM9-20,0,0,0,0,0,0,0,0,0,405000,0,0
PROBLEM9-40,0,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
