Nodes 12
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM9-20,PROBLEM1-100,PROBLEM9-40,PROBLEM2-20,PROBLEM9-60,PROBLEM6-20,PROBLEM6-40,START,END
PROBLEM1-20,0,377,0,0,0,0,0,0,0,0,0,812
PROBLEM1-40,0,0,121,0,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,147,0,0,0,0,0,0,0
PROBLEM9-20,0,0,0,0,0,166,0,0,0,0,0,0
PROBLEM1-100,0,0,43,0,0,0,0,0,0,0,0,0
PROBLEM9-40,0,0,0,0,0,0,0,151,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,0,0,0,0,0,18
PROBLEM9-60,0,0,0,0,0,0,0,0,0,0,0,45
PROBLEM6-20,0,0,0,0,0,0,0,0,0,146,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,0,0,38
START,1189,0,0,175,0,0,164,0,168,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM9-20,PROBLEM1-100,PROBLEM9-40,PROBLEM2-20,PROBLEM9-60,PROBLEM6-20,PROBLEM6-40,START,END
PROBLEM1-20,0,2309000,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,1535000,0,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,689000,0,0,0,0,0,0,0
PROBLEM9-20,0,0,0,0,0,180000,0,0,0,0,0,0
PROBLEM1-100,0,0,1173000,0,0,0,0,0,0,0,0,0
PROBLEM9-40,0,0,0,0,0,0,0,1507000,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM9-60,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,0,0,0,0,478000,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
