Nodes 12
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM2-20,PROBLEM1-80,PROBLEM2-40,PROBLEM1-100,PROBLEM3-20,PROBLEM2-80,PROBLEM2-60,PROBLEM9-20,START,END
PROBLEM1-20,0,1080,0,12,0,3,0,2,0,0,0,1045
PROBLEM1-40,0,156,0,447,0,2,0,7,0,0,0,473
PROBLEM2-20,0,0,0,0,560,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,0,408,0,0,0,0,0,0
PROBLEM2-40,0,0,0,2,0,0,0,366,32,0,0,0
PROBLEM1-100,0,36,0,0,0,0,0,2,0,0,0,0
PROBLEM3-20,0,256,0,0,0,0,0,0,0,0,0,0
PROBLEM2-80,0,0,0,0,0,0,0,0,359,0,0,0
PROBLEM2-60,0,9,0,0,0,0,0,165,0,0,0,0
PROBLEM9-20,0,264,0,0,0,0,0,0,0,0,0,0
START,2161,0,614,0,0,2,277,2,2,284,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM2-20,PROBLEM1-80,PROBLEM2-40,PROBLEM1-100,PROBLEM3-20,PROBLEM2-80,PROBLEM2-60,PROBLEM9-20,START,END
PROBLEM1-20,0,37978000,0,110000,0,16000,0,11000,0,0,0,0
PROBLEM1-40,0,20829094,0,3593000,0,192000,0,60000,0,0,0,0
PROBLEM2-20,0,0,0,0,451000,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,0,1388000,0,0,0,0,0,0
PROBLEM2-40,0,0,0,9000,0,0,0,3159000,189000,0,0,0
PROBLEM1-100,0,4187901,0,0,0,0,0,8000,0,0,0,0
PROBLEM3-20,0,36203049,0,0,0,0,0,0,0,0,0,0
PROBLEM2-80,0,0,0,0,0,0,0,0,1202000,0,0,0
PROBLEM2-60,0,1051237,0,0,0,0,0,1774000,0,0,0,0
PROBLEM9-20,0,37519841,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
