Nodes 12
Total Frequency
,PROBLEM1-80,PROBLEM2-20,PROBLEM2-40,PROBLEM2-80,PROBLEM2-60,PROBLEM9-20,PROBLEM9-40,PROBLEM9-60,PROBLEM1-20,PROBLEM1-40,START,END
PROBLEM1-80,0,0,0,0,0,0,0,0,0,0,0,2
PROBLEM2-20,0,0,221,0,0,0,0,0,0,0,0,0
PROBLEM2-40,0,0,0,135,4,0,0,0,0,0,0,0
PROBLEM2-80,0,0,0,0,125,0,0,0,0,0,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,0,0,22
PROBLEM9-20,0,0,0,0,0,0,130,0,0,0,0,0
PROBLEM9-40,0,0,0,0,0,0,0,121,0,0,0,0
PROBLEM9-60,0,0,0,0,0,0,0,0,0,0,0,118
PROBLEM1-20,0,0,0,0,0,0,0,0,0,223,0,179
PROBLEM1-40,115,0,0,0,0,0,0,0,0,0,0,0
START,0,238,0,0,4,140,0,0,402,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-80,PROBLEM2-20,PROBLEM2-40,PROBLEM2-80,PROBLEM2-60,PROBLEM9-20,PROBLEM9-40,PROBLEM9-60,PROBLEM1-20,PROBLEM1-40,START,END
PROBLEM1-80,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM2-20,0,0,115000,0,0,0,0,0,0,0,0,0
PROBLEM2-40,0,0,0,1015000,17000,0,0,0,0,0,0,0
PROBLEM2-80,0,0,0,0,340000,0,0,0,0,0,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM9-20,0,0,0,0,0,0,59000,0,0,0,0,0
PROBLEM9-40,0,0,0,0,0,0,0,945000,0,0,0,0
PROBLEM9-60,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM1-20,0,0,0,0,0,0,0,0,0,71000,0,0
PROBLEM1-40,981000,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
