Nodes 12
Total Frequency
,PROBLEM2-80,PROBLEM1-20,PROBLEM2-60,PROBLEM1-40,PROBLEM1-80,PROBLEM2-20,PROBLEM1-100,PROBLEM2-40,PROBLEM3-20,PROBLEM3-40,START,END
PROBLEM2-80,0,0,207,3,0,0,0,0,0,0,0,0
PROBLEM1-20,0,0,0,632,4,0,1,0,0,0,0,491
PROBLEM2-60,0,0,0,61,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,0,120,244,0,2,0,0,0,0,270
PROBLEM1-80,0,0,0,18,0,0,230,0,0,0,0,0
PROBLEM2-20,0,0,0,3,0,0,0,293,0,0,0,0
PROBLEM1-100,0,0,0,7,0,0,0,0,0,0,0,0
PROBLEM2-40,199,0,21,3,1,0,0,0,0,0,0,0
PROBLEM3-20,0,0,0,3,0,0,0,0,0,138,0,0
PROBLEM3-40,1,0,1,101,0,0,0,0,0,0,0,0
START,15,1131,0,0,0,318,0,0,157,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM2-80,PROBLEM1-20,PROBLEM2-60,PROBLEM1-40,PROBLEM1-80,PROBLEM2-20,PROBLEM1-100,PROBLEM2-40,PROBLEM3-20,PROBLEM3-40,START,END
PROBLEM2-80,0,0,748000,190735,0,0,0,0,0,0,0,0
PROBLEM1-20,0,0,0,19862000,62000,0,16000,0,0,0,0,0
PROBLEM2-60,0,0,0,9065441,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,0,16582147,2287000,0,192000,0,0,0,0,0
PROBLEM1-80,0,0,0,2546500,0,0,988000,0,0,0,0,0
PROBLEM2-20,0,0,0,192735,0,0,0,217000,0,0,0,0
PROBLEM1-100,0,0,0,618205,0,0,0,0,0,0,0,0
PROBLEM2-40,1771000,0,163000,211735,4000,0,0,0,0,0,0,0
PROBLEM3-20,0,0,0,183735,0,0,0,0,0,158000,0,0
PROBLEM3-40,13000,0,7000,16026529,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
