Nodes 11
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-60,PROBLEM1-80,PROBLEM1-100,PROBLEM2-20,PROBLEM2-40,PROBLEM2-80,PROBLEM2-60,START,END
PROBLEM1-20,0,228,0,0,0,0,0,0,0,0,397
PROBLEM1-40,0,0,23,89,0,0,0,0,0,0,118
PROBLEM1-60,0,0,0,0,26,0,0,0,0,0,0
PROBLEM1-80,0,0,26,0,68,0,0,0,0,0,0
PROBLEM1-100,0,0,7,0,0,0,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,46,0,0,0,0
PROBLEM2-40,0,0,0,0,0,0,0,33,0,0,0
PROBLEM2-80,0,0,0,0,0,0,0,0,29,0,0
PROBLEM2-60,0,0,0,0,0,0,0,7,0,0,0
START,628,2,0,2,2,58,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-60,PROBLEM1-80,PROBLEM1-100,PROBLEM2-20,PROBLEM2-40,PROBLEM2-80,PROBLEM2-60,START,END
PROBLEM1-20,0,668000,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,173000,333000,0,0,0,0,0,0,0
PROBLEM1-60,0,0,0,0,3000,0,0,0,0,0,0
PROBLEM1-80,0,0,44000,0,65000,0,0,0,0,0,0
PROBLEM1-100,0,0,7000,0,0,0,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,119000,0,0,0,0
PROBLEM2-40,0,0,0,0,0,0,0,380000,0,0,0
PROBLEM2-80,0,0,0,0,0,0,0,0,120000,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0
