Nodes 13
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM1-100,PROBLEM1-60,PROBLEM6-20,PROBLEM2-20,PROBLEM6-40,PROBLEM2-40,PROBLEM2-80,PROBLEM2-60,START,END
PROBLEM1-20,0,225,0,0,0,0,0,0,0,0,0,0,266
PROBLEM1-40,0,0,106,0,54,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,132,0,0,0,0,0,0,0,0,0
PROBLEM1-100,0,0,0,0,13,0,0,0,0,0,0,0,0
PROBLEM1-60,0,0,29,0,0,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,0,0,53,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,0,0,115,0,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,0,0,0,11
PROBLEM2-40,0,0,0,0,0,0,0,0,0,72,20,0,0
PROBLEM2-80,0,0,0,0,0,0,0,0,0,0,61,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,0,0,0,44
START,491,0,0,0,0,53,245,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM1-100,PROBLEM1-60,PROBLEM6-20,PROBLEM2-20,PROBLEM6-40,PROBLEM2-40,PROBLEM2-80,PROBLEM2-60,START,END
PROBLEM1-20,0,671000,0,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,9403000,0,934000,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,3452000,0,0,0,0,0,0,0,0,0
PROBLEM1-100,0,0,0,0,168000,0,0,0,0,0,0,0,0
PROBLEM1-60,0,0,2085000,0,0,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,0,0,81000,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,0,0,361000,0,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM2-40,0,0,0,0,0,0,0,0,0,3550000,2579000,0,0
PROBLEM2-80,0,0,0,0,0,0,0,0,0,0,1400000,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0
