Nodes 12
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM6-20,PROBLEM1-80,PROBLEM6-40,PROBLEM1-100,PROBLEM6-60,PROBLEM2-20,PROBLEM2-40,PROBLEM2-60,START,END
PROBLEM1-20,0,723,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,0,184,0,0,0,0,0,0,0,483
PROBLEM6-20,0,0,0,0,241,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,0,193,0,0,0,0,0,0
PROBLEM6-40,0,0,0,0,0,0,196,0,0,0,0,0
PROBLEM1-100,0,0,0,42,0,0,0,0,0,0,0,0
PROBLEM6-60,0,0,0,0,0,0,0,0,0,0,0,164
PROBLEM2-20,0,0,0,0,0,0,0,0,483,0,0,0
PROBLEM2-40,0,0,0,0,0,0,0,0,0,104,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,95,0,104
START,1177,0,254,0,0,0,0,576,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM6-20,PROBLEM1-80,PROBLEM6-40,PROBLEM1-100,PROBLEM6-60,PROBLEM2-20,PROBLEM2-40,PROBLEM2-60,START,END
PROBLEM1-20,0,287000,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,0,679000,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,53000,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,0,256000,0,0,0,0,0,0
PROBLEM6-40,0,0,0,0,0,0,681000,0,0,0,0,0
PROBLEM1-100,0,0,0,301000,0,0,0,0,0,0,0,0
PROBLEM6-60,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,0,0,171000,0,0,0
PROBLEM2-40,0,0,0,0,0,0,0,0,0,640613,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,806773,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
