Nodes 13
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-60,PROBLEM5-20,PROBLEM6-20,PROBLEM6-40,PROBLEM6-60,PROBLEM9-40,PROBLEM9-20,PROBLEM9-60,PROBLEM3-20,START,END
PROBLEM1-20,0,325,0,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,173,0,0,5,1,0,0,0,0,0,0
PROBLEM1-60,0,0,0,0,0,110,0,0,0,0,0,0,0
PROBLEM5-20,0,0,0,0,0,154,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,364,0,0,0,0,0,0,0
PROBLEM6-40,0,0,0,0,0,4,277,0,0,1,0,0,0
PROBLEM6-60,0,0,1,0,0,79,0,0,0,0,0,0,207
PROBLEM9-40,0,0,0,0,0,2,0,0,0,206,0,0,0
PROBLEM9-20,0,0,0,0,0,0,0,261,0,0,0,0,0
PROBLEM9-60,0,1,0,0,0,42,1,0,0,0,0,0,170
PROBLEM3-20,0,0,0,0,0,2,0,0,0,0,0,0,0
START,444,0,0,158,464,0,0,0,294,6,256,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-60,PROBLEM5-20,PROBLEM6-20,PROBLEM6-40,PROBLEM6-60,PROBLEM9-40,PROBLEM9-20,PROBLEM9-60,PROBLEM3-20,START,END
PROBLEM1-20,0,305000,0,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,2111000,0,0,86441,0,0,0,0,0,0,0
PROBLEM1-60,0,0,0,0,0,5378064,0,0,0,0,0,0,0
PROBLEM5-20,0,0,0,0,0,6222000,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,47294000,0,0,0,0,0,0,0
PROBLEM6-40,0,0,0,0,0,42220,935000,0,0,1000,0,0,0
PROBLEM6-60,0,0,2000,0,0,3300337,0,0,0,0,0,0,0
PROBLEM9-40,0,0,0,0,0,41220,0,0,0,1144000,0,0,0
PROBLEM9-20,0,0,0,0,0,0,0,864000,0,0,0,0,0
PROBLEM9-60,0,225000,0,0,0,5388831,7000,0,0,0,0,0,0
PROBLEM3-20,0,0,0,0,0,58220,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0
