Nodes 12
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM2-20,PROBLEM1-80,PROBLEM2-40,PROBLEM1-100,PROBLEM2-60,PROBLEM9-20,PROBLEM6-20,PROBLEM9-40,START,END
PROBLEM1-20,0,3519,0,12,0,3,0,0,0,0,0,3201
PROBLEM1-40,0,727,0,1284,0,22,0,0,0,0,0,0
PROBLEM2-20,0,0,0,0,1742,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,0,1440,0,0,0,0,0,0
PROBLEM2-40,0,773,0,2,2,0,391,0,0,0,0,0
PROBLEM1-100,0,77,0,0,0,0,0,0,0,0,0,1503
PROBLEM2-60,0,551,0,0,0,0,0,0,0,0,0,0
PROBLEM9-20,0,9,0,0,0,0,0,0,0,1194,0,0
PROBLEM6-20,0,1079,0,0,0,0,0,0,0,0,0,0
PROBLEM9-40,0,1061,0,0,0,0,0,0,0,2,0,0
START,6762,0,2142,0,0,2,2,1301,1249,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM2-20,PROBLEM1-80,PROBLEM2-40,PROBLEM1-100,PROBLEM2-60,PROBLEM9-20,PROBLEM6-20,PROBLEM9-40,START,END
PROBLEM1-20,0,230832000,0,110000,0,16000,0,0,0,0,0,0
PROBLEM1-40,0,185368155,0,17170000,0,255000,0,0,0,0,0,0
PROBLEM2-20,0,0,0,0,2010000,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,0,6730000,0,0,0,0,0,0
PROBLEM2-40,0,168686544,0,9000,16000,0,4061000,0,0,0,0,0
PROBLEM1-100,0,14887254,0,0,0,0,0,0,0,0,0,0
PROBLEM2-60,0,73557353,0,0,0,0,0,0,0,0,0,0
PROBLEM9-20,0,1318009,0,0,0,0,0,0,0,1629000,0,0
PROBLEM6-20,0,232799967,0,0,0,0,0,0,0,0,0,0
PROBLEM9-40,0,221697786,0,0,0,0,0,0,0,3000,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
