Nodes 12
Total Frequency
,PROBLEM1-20,PROBLEM2-60,PROBLEM1-40,PROBLEM1-80,PROBLEM6-20,PROBLEM6-40,PROBLEM2-20,PROBLEM1-100,PROBLEM2-40,PROBLEM9-20,START,END
PROBLEM1-20,0,0,1519,4,0,0,0,1,0,0,0,1001
PROBLEM2-60,0,0,223,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,366,670,0,0,0,22,0,0,0,0
PROBLEM1-80,0,0,53,0,0,0,0,683,0,0,0,0
PROBLEM6-20,0,0,4,0,0,515,0,0,0,0,0,0
PROBLEM6-40,0,0,425,1,0,0,0,0,1,0,0,0
PROBLEM2-20,0,0,4,0,0,1,0,0,664,0,0,0
PROBLEM1-100,0,0,16,0,0,0,0,0,0,0,0,736
PROBLEM2-40,0,208,352,1,0,0,0,0,0,0,0,0
PROBLEM9-20,0,0,490,0,0,0,0,0,0,0,0,0
START,2528,0,0,10,625,0,772,0,0,533,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM2-60,PROBLEM1-40,PROBLEM1-80,PROBLEM6-20,PROBLEM6-40,PROBLEM2-20,PROBLEM1-100,PROBLEM2-40,PROBLEM9-20,START,END
PROBLEM1-20,0,0,100299000,62000,0,0,0,16000,0,0,0,0
PROBLEM2-60,0,0,25856212,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,72296685,4247000,0,0,0,255000,0,0,0,0
PROBLEM1-80,0,0,10673496,0,0,0,0,1659000,0,0,0,0
PROBLEM6-20,0,0,475913,0,0,514000,0,0,0,0,0,0
PROBLEM6-40,0,0,85395535,0,0,0,0,0,1000,0,0,0
PROBLEM2-20,0,0,468913,0,0,0,0,0,733000,0,0,0
PROBLEM1-100,0,0,2584047,0,0,0,0,0,0,0,0,0
PROBLEM2-40,0,930000,71721858,4000,0,0,0,0,0,0,0,0
PROBLEM9-20,0,0,97697559,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
