Nodes 19
Total Frequency
,PROBLEM5-20,PROBLEM1-20,PROBLEM3-40,PROBLEM1-40,PROBLEM1-60,PROBLEM1-80,PROBLEM8-20,PROBLEM7-20,PROBLEM7-40,PROBLEM7-60,PROBLEM9-20,PROBLEM9-40,PROBLEM9-60,PROBLEM5-40,PROBLEM3-20,PROBLEM8-40,PROBLEM8-60,START,END
PROBLEM5-20,0,0,0,0,0,0,0,0,0,2,0,0,0,157,0,0,0,0,110
PROBLEM1-20,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM3-40,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,88
PROBLEM1-40,0,0,0,0,156,0,0,0,0,1,0,0,1,0,0,0,0,0,85
PROBLEM1-60,0,0,0,0,0,141,0,0,0,2,0,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0
PROBLEM8-20,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,161,0,0,0
PROBLEM7-20,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0
PROBLEM7-40,0,0,0,0,0,0,0,0,0,211,0,1,1,0,0,0,0,0,114
PROBLEM7-60,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,135
PROBLEM9-20,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0
PROBLEM9-40,0,0,0,0,1,0,0,0,0,0,0,1,250,0,0,1,1,0,0
PROBLEM9-60,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,235
PROBLEM5-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
PROBLEM3-20,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM8-40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,142,0,0
PROBLEM8-60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
START,268,281,0,0,5,0,219,347,0,6,308,0,0,0,214,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM5-20,PROBLEM1-20,PROBLEM3-40,PROBLEM1-40,PROBLEM1-60,PROBLEM1-80,PROBLEM8-20,PROBLEM7-20,PROBLEM7-40,PROBLEM7-60,PROBLEM9-20,PROBLEM9-40,PROBLEM9-60,PROBLEM5-40,PROBLEM3-20,PROBLEM8-40,PROBLEM8-60,START,END
PROBLEM5-20,0,0,0,0,0,0,0,0,0,116335,0,0,0,264000,0,0,0,0,0
PROBLEM1-20,0,0,0,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM3-40,0,0,0,0,0,25000,0,0,0,64335,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,0,0,788000,0,0,0,0,18000,0,0,0,0,0,0,0,0,0
PROBLEM1-60,0,0,0,0,0,2294000,0,0,0,64335,0,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,0,0,0,0,0,2667992,0,0,0,0,0,0,0,0,0
PROBLEM8-20,0,0,0,0,0,0,0,0,0,346656,0,0,0,0,0,177000,0,0,0
PROBLEM7-20,0,0,0,0,0,0,0,0,221000,0,0,0,0,0,0,0,0,0,0
PROBLEM7-40,0,0,0,0,0,0,0,0,0,2398000,0,54098,2000,0,0,0,0,0,0
PROBLEM7-60,0,0,0,0,0,0,0,0,0,73335,0,0,0,0,0,0,0,0,0
PROBLEM9-20,0,0,0,0,0,0,0,0,0,0,0,943000,0,0,0,0,0,0,0
PROBLEM9-40,0,0,0,0,0,0,0,0,0,0,0,56098,1198000,0,0,1000,0,0,0
PROBLEM9-60,0,0,0,0,0,54000,0,0,0,4000,0,0,85000,0,0,0,0,0,0
PROBLEM5-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM3-20,0,0,785000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM8-40,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,568000,0,0
PROBLEM8-60,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
