Nodes 12
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM1-100,PROBLEM6-20,PROBLEM2-20,PROBLEM6-40,PROBLEM2-40,PROBLEM2-80,PROBLEM2-60,START,END
PROBLEM1-20,0,815,0,0,0,0,0,0,0,0,0,817
PROBLEM1-40,0,0,487,0,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,434,0,0,0,0,0,0,0,0
PROBLEM1-100,0,0,0,0,0,0,0,0,0,0,0,446
PROBLEM6-20,0,0,0,0,0,0,240,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,0,415,0,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,0,0,47
PROBLEM2-40,0,0,0,0,0,0,0,0,238,99,0,0
PROBLEM2-80,0,0,0,0,0,0,0,0,0,201,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,0,0,170
START,1632,0,0,0,259,621,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM1-100,PROBLEM6-20,PROBLEM2-20,PROBLEM6-40,PROBLEM2-40,PROBLEM2-80,PROBLEM2-60,START,END
PROBLEM1-20,0,3103000,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,12376000,0,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,4104000,0,0,0,0,0,0,0,0
PROBLEM1-100,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,0,588000,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,0,837000,0,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM2-40,0,0,0,0,0,0,0,0,5616000,2955000,0,0
PROBLEM2-80,0,0,0,0,0,0,0,0,0,2078000,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
