Nodes 12
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM8-20,PROBLEM1-100,PROBLEM2-20,PROBLEM9-20,PROBLEM9-40,PROBLEM9-60,PROBLEM9-80,START,END
PROBLEM1-20,0,125,0,0,0,0,0,0,0,0,0,481
PROBLEM1-40,0,0,70,0,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,68,0,0,0,0,0,0,0
PROBLEM8-20,0,0,0,0,0,0,0,0,0,0,0,38
PROBLEM1-100,0,0,0,0,0,0,0,0,0,0,0,73
PROBLEM2-20,0,0,0,0,0,0,0,0,0,0,0,7
PROBLEM9-20,0,0,0,0,0,0,0,102,0,0,0,0
PROBLEM9-40,0,0,0,0,0,0,0,0,96,0,0,0
PROBLEM9-60,0,0,0,0,0,0,0,0,0,82,0,0
PROBLEM9-80,0,0,0,0,0,0,0,0,0,0,0,75
START,606,0,0,66,0,63,109,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM8-20,PROBLEM1-100,PROBLEM2-20,PROBLEM9-20,PROBLEM9-40,PROBLEM9-60,PROBLEM9-80,START,END
PROBLEM1-20,0,319000,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,529000,0,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,293000,0,0,0,0,0,0,0
PROBLEM8-20,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM1-100,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM9-20,0,0,0,0,0,0,0,37000,0,0,0,0
PROBLEM9-40,0,0,0,0,0,0,0,0,483000,0,0,0
PROBLEM9-60,0,0,0,0,0,0,0,0,0,1290000,0,0
PROBLEM9-80,0,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
