Nodes 13
Total Frequency
,PROBLEM1-20,PROBLEM7-20,PROBLEM1-40,PROBLEM7-40,PROBLEM9-20,PROBLEM9-40,PROBLEM3-20,PROBLEM9-60,PROBLEM6-20,PROBLEM6-40,PROBLEM5-20,START,END
PROBLEM1-20,0,0,659,0,0,0,0,19,0,0,0,0,359
PROBLEM7-20,0,0,0,470,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,0,0,0,0,0,370,0,0,0,0,292
PROBLEM7-40,0,0,0,0,0,0,0,349,0,0,0,0,0
PROBLEM9-20,0,0,0,0,0,600,0,0,0,0,0,0,0
PROBLEM9-40,0,0,0,0,0,2,0,491,0,0,0,0,0
PROBLEM3-20,0,0,0,0,0,0,0,378,0,0,0,0,0
PROBLEM9-60,0,0,0,0,0,0,0,89,0,0,0,0,427
PROBLEM6-20,0,0,0,0,0,0,0,19,0,473,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,363,0,0,0,0,0
PROBLEM5-20,0,0,0,0,0,0,0,350,0,0,0,0,0
START,1024,495,0,0,662,0,523,0,610,0,469,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM7-20,PROBLEM1-40,PROBLEM7-40,PROBLEM9-20,PROBLEM9-40,PROBLEM3-20,PROBLEM9-60,PROBLEM6-20,PROBLEM6-40,PROBLEM5-20,START,END
PROBLEM1-20,0,0,2672000,0,0,0,0,8428049,0,0,0,0,0
PROBLEM7-20,0,0,0,322000,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,0,0,0,0,0,155044310,0,0,0,0,0
PROBLEM7-40,0,0,0,0,0,0,0,108174527,0,0,0,0,0
PROBLEM9-20,0,0,0,0,0,1272000,0,0,0,0,0,0,0
PROBLEM9-40,0,0,0,0,0,3000,0,132258000,0,0,0,0,0
PROBLEM3-20,0,0,0,0,0,0,0,123777630,0,0,0,0,0
PROBLEM9-60,0,0,0,0,0,0,0,26467251,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,0,0,11029049,0,440000,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,118340847,0,0,0,0,0
PROBLEM5-20,0,0,0,0,0,0,0,113658773,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0
