Nodes 13
Total Frequency
,PROBLEM3-20,PROBLEM8-20,PROBLEM3-40,PROBLEM8-40,PROBLEM1-20,PROBLEM9-60,PROBLEM6-20,PROBLEM9-20,PROBLEM6-40,PROBLEM9-40,PROBLEM6-60,START,END
PROBLEM3-20,0,0,34,0,0,0,0,0,0,0,0,0,0
PROBLEM8-20,0,0,0,34,0,0,0,0,0,0,0,0,0
PROBLEM3-40,0,0,0,0,0,0,0,0,0,0,0,0,21
PROBLEM8-40,0,0,0,0,0,0,0,0,0,0,0,0,2
PROBLEM1-20,0,0,0,0,0,0,0,0,0,0,0,0,19
PROBLEM9-60,0,0,0,0,0,0,0,0,0,0,0,0,34
PROBLEM6-20,0,0,0,0,0,0,0,0,35,0,0,0,14
PROBLEM9-20,0,0,0,0,0,0,0,0,0,48,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,0,35,0,0
PROBLEM9-40,0,0,0,0,0,34,0,0,0,0,0,0,14
PROBLEM6-60,0,0,0,0,0,0,0,0,0,0,0,0,26
START,38,37,0,0,48,4,49,50,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM3-20,PROBLEM8-20,PROBLEM3-40,PROBLEM8-40,PROBLEM1-20,PROBLEM9-60,PROBLEM6-20,PROBLEM9-20,PROBLEM6-40,PROBLEM9-40,PROBLEM6-60,START,END
PROBLEM3-20,0,0,338000,0,0,0,0,0,0,0,0,0,0
PROBLEM8-20,0,0,0,28000,0,0,0,0,0,0,0,0,0
PROBLEM3-40,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM8-40,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM1-20,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM9-60,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,0,0,0,10000,0,0,0,0
PROBLEM9-20,0,0,0,0,0,0,0,0,0,23000,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,0,1221000,0,0
PROBLEM9-40,0,0,0,0,0,130000,0,0,0,0,0,0,0
PROBLEM6-60,0,0,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0
