Nodes 13
Total Frequency
,PROBLEM1-20,PROBLEM9-20,PROBLEM1-40,PROBLEM9-40,PROBLEM9-60,PROBLEM7-60,PROBLEM3-20,PROBLEM5-20,PROBLEM7-20,PROBLEM7-40,PROBLEM8-20,START,END
PROBLEM1-20,0,0,198,0,0,1,0,0,0,0,0,0,0
PROBLEM9-20,0,0,0,259,0,0,0,0,0,1,0,0,0
PROBLEM1-40,0,0,1,0,0,122,0,0,0,0,0,0,0
PROBLEM9-40,0,0,0,1,235,0,0,0,0,1,0,0,0
PROBLEM9-60,0,0,0,0,18,2,0,0,0,0,0,0,222
PROBLEM7-60,0,0,0,0,75,0,0,0,0,0,0,0,0
PROBLEM3-20,0,0,0,0,0,150,0,0,0,0,0,0,0
PROBLEM5-20,0,0,0,0,0,162,0,0,0,0,0,0,0
PROBLEM7-20,0,0,0,0,0,0,0,0,0,279,0,0,0
PROBLEM7-40,0,0,0,0,4,162,0,0,0,1,0,0,111
PROBLEM8-20,0,0,0,1,130,2,0,0,0,0,0,0,0
START,299,285,0,0,0,6,187,272,293,0,184,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM9-20,PROBLEM1-40,PROBLEM9-40,PROBLEM9-60,PROBLEM7-60,PROBLEM3-20,PROBLEM5-20,PROBLEM7-20,PROBLEM7-40,PROBLEM8-20,START,END
PROBLEM1-20,0,0,210000,0,0,6255832,0,0,0,0,0,0,0
PROBLEM9-20,0,0,0,378000,0,0,0,0,0,10178,0,0,0
PROBLEM1-40,0,0,145000,0,0,45271540,0,0,0,0,0,0,0
PROBLEM9-40,0,0,0,3000,2628000,0,0,0,0,11178,0,0,0
PROBLEM9-60,0,0,0,0,1624484,255832,0,0,0,0,0,0,0
PROBLEM7-60,0,0,0,0,2598815,0,0,0,0,0,0,0,0
PROBLEM3-20,0,0,0,0,0,9926844,0,0,0,0,0,0,0
PROBLEM5-20,0,0,0,0,0,10137000,0,0,0,0,0,0,0
PROBLEM7-20,0,0,0,0,0,0,0,0,0,671000,0,0,0
PROBLEM7-40,0,0,0,0,70438,9845000,0,0,0,21178,0,0,0
PROBLEM8-20,0,0,0,0,2888853,431664,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0
