Nodes 11
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-60,PROBLEM1-80,PROBLEM3-20,PROBLEM3-40,PROBLEM7-20,PROBLEM7-40,PROBLEM7-60,START,END
PROBLEM1-20,0,107,0,0,0,0,0,0,0,0,126
PROBLEM1-40,0,0,45,0,0,0,0,0,0,0,0
PROBLEM1-60,0,0,0,37,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,0,0,0,0,0,0,2
PROBLEM3-20,0,0,0,0,0,41,0,0,0,0,0
PROBLEM3-40,0,0,0,0,0,0,0,0,0,0,11
PROBLEM7-20,0,0,0,0,0,0,0,55,0,0,0
PROBLEM7-40,0,0,0,0,0,0,0,0,50,0,0
PROBLEM7-60,0,0,0,0,0,0,0,0,0,0,41
START,233,0,0,0,42,0,55,0,2,0,0
END,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-60,PROBLEM1-80,PROBLEM3-20,PROBLEM3-40,PROBLEM7-20,PROBLEM7-40,PROBLEM7-60,START,END
PROBLEM1-20,0,23000,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,166000,0,0,0,0,0,0,0,0
PROBLEM1-60,0,0,0,229000,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,0,0,0,0,0,0,0,0
PROBLEM3-20,0,0,0,0,0,8000,0,0,0,0,0
PROBLEM3-40,0,0,0,0,0,0,0,0,0,0,0
PROBLEM7-20,0,0,0,0,0,0,0,9000,0,0,0
PROBLEM7-40,0,0,0,0,0,0,0,0,157000,0,0
PROBLEM7-60,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0
