Grupo,Año,TIempo,Session,Objeto,Accion,Nota,Compuesto,,,,,
DBA 1516 P2 GA,1516,22/10/2015 17:29:21,84557317827,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,22/10/2015 17:29:22,84557317827,PROBLEM1,40,"7,8",PROBLEM1-40,,,,,
DBA 1516 P2 GA,1516,22/10/2015 17:29:39,84557317827,PROBLEM1,60,"7,8",PROBLEM1-60,,,,,
DBA 1516 P2 GA,1516,22/10/2015 17:34:09,13090455475,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,22/10/2015 17:34:10,13090455475,PROBLEM1,40,"7,8",PROBLEM1-40,,,,,
DBA 1516 P2 GA,1516,22/10/2015 17:34:40,13090455475,PROBLEM1,60,"7,8",PROBLEM1-60,,,,,
DBA 1516 P2 GA,1516,28/10/2015 14:08:56,103879609524,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:13:41,93419335161,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:17:25,98068190243,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:24:55,82317887407,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:25:22,50615350630,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:26:28,23299516035,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:39:44,72144600342,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:40:26,85388844511,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:43:27,16755827257,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:45:06,89590155452,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:48:28,60330564316,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:48:36,6008106071,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
DBA 1516 P2 GA,1516,02/11/2015 16:50:53,109827932573,PROBLEM1,20,"7,8",PROBLEM1-20,,,,,
