Year,Problem,fail,solved,all,RatioFail
Y2015,P1,1877,387,2264,0.8290636042402827
Y2015,P2,448,182,630,0.7111111111111111
Y2015,P3,166,114,280,0.5928571428571429
Y2015,P4,107,65,172,0.622093023255814
Y2015,P5,38,72,110,0.34545454545454546
Y2015,P6,23,64,87,0.26436781609195403
Y2015,P7,198,69,267,0.7415730337078652
Y2015,P8,135,47,182,0.7417582417582418
Y2015,P9,483,14,497,0.971830985915493
Y2016,P1,1531,563,2094,0.7311365807067812
Y2016,P2,844,165,1009,0.8364717542120912
Y2016,P3,120,106,226,0.5309734513274337
Y2016,P4,94,111,205,0.4585365853658537
Y2016,P5,50,96,146,0.3424657534246575
Y2016,P6,192,99,291,0.6597938144329897
Y2016,P7,90,76,166,0.5421686746987951
Y2016,P8,76,80,156,0.48717948717948717
Y2016,P9,224,21,245,0.9142857142857143
Y2017,P1,1655,294,1949,0.849153412006157
Y2017,P2,616,51,667,0.9235382308845578
Y2017,P3,57,58,115,0.4956521739130435
Y2017,P4,34,32,66,0.5151515151515151
Y2017,P5,24,31,55,0.43636363636363634
Y2017,P6,265,40,305,0.8688524590163934
Y2017,P7,30,25,55,0.5454545454545454
Y2017,P8,166,43,209,0.7942583732057417
Y2017,P9,218,22,240,0.9083333333333333
Y2018,P1,1528,0,1528,1.0
Y2018,P2,508,0,508,1.0
Y2018,P3,109,0,109,1.0
Y2018,P4,65,0,65,1.0
Y2018,P5,81,0,81,1.0
Y2018,P6,173,0,173,1.0
Y2018,P7,118,0,118,1.0
Y2018,P8,62,0,62,1.0
Y2018,P9,167,0,167,1.0
Y2019,P1,1209,229,1438,0.8407510431154381
Y2019,P2,133,112,245,0.5428571428571428
Y2019,P3,416,113,529,0.7863894139886578
Y2019,P4,197,104,301,0.654485049833887
Y2019,P5,331,137,468,0.7072649572649573
Y2019,P6,526,86,612,0.8594771241830066
Y2019,P7,352,141,493,0.7139959432048681
Y2019,P8,281,125,406,0.6921182266009852
Y2019,P9,590,74,664,0.8885542168674698
Y2020,P1,1538,307,1845,0.8336043360433605
Y2020,P2,249,7,256,0.97265625
Y2020,P3,174,65,239,0.7280334728033473
Y2020,P4,30,37,67,0.44776119402985076
Y2020,P5,144,246,390,0.36923076923076925
Y2020,P6,47,44,91,0.5164835164835165
Y2020,P7,185,215,400,0.4625
Y2020,P8,99,97,196,0.5051020408163265
Y2020,P9,208,208,416,0.5
Y2021,P1,1298,242,1540,0.8428571428571429
Y2021,P2,698,41,739,0.9445196211096076
Y2021,P3,605,39,644,0.9394409937888198
Y2021,P4,174,20,194,0.8969072164948454
Y2021,P5,240,25,265,0.9056603773584906
Y2021,P6,393,33,426,0.9225352112676056
Y2021,P7,809,61,870,0.9298850574712644
Y2021,P8,1144,68,1212,0.9438943894389439
Y2021,P9,207,16,223,0.9282511210762332
