PROBLEM1-20 PROBLEM1-40 PROBLEM1-80 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM1-60 PROBLEM3-20 PROBLEM3-40 PROBLEM2-60 PROBLEM2-80 START END 
0 102 0 0 0 0 0 0 0 0 0 0 161
0 0 33 0 0 0 0 0 0 0 0 0 68
0 0 0 33 0 0 7 0 0 0 0 0 0
0 0 0 0 0 0 14 0 0 0 0 0 19
0 0 0 0 0 86 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 17 0 67
0 0 0 0 0 0 0 0 0 0 0 0 15
0 0 0 0 0 0 0 0 8 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 13 0 0 4
263 0 0 0 94 0 0 8 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0
