PROBLEM1-20 PROBLEM1-40 PROBLEM1-80 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM1-60 PROBLEM3-20 PROBLEM3-40 PROBLEM2-60 PROBLEM2-80 PROBLEM3-60 PROBLEM2-100 PROBLEM3-80 PROBLEM3-100 PROBLEM7-20 PROBLEM7-40 PROBLEM7-60 PROBLEM9-20 PROBLEM9-40 PROBLEM9-60 START END 
0 142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 162
0 0 70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70
0 0 0 63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56
0 0 0 0 0 168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17
0 0 0 0 0 0 0 0 0 0 88 0 0 0 0 0 0 0 0 0 0 0 77
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 72 0 0 0 0 0 0 0 0 0 14
0 0 0 0 0 0 0 0 0 84 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 11
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73
0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 55
304 0 0 0 185 0 0 43 0 0 0 0 0 0 0 41 0 0 64 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
