PROBLEM1-20 PROBLEM1-40 PROBLEM1-80 PROBLEM2-20 PROBLEM2-40 PROBLEM1-100 PROBLEM2-80 PROBLEM2-60 PROBLEM4-20 PROBLEM4-40 PROBLEM1-60 START END 
0 122 0 0 0 0 0 0 0 0 0 0 75
0 0 68 0 0 0 0 0 0 0 16 0 38
0 0 0 0 0 57 0 0 0 0 0 0 15
0 0 0 0 102 0 0 0 0 0 0 0 9
0 0 0 0 0 0 74 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 0 57
0 0 0 0 0 0 0 71 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 69
0 0 0 0 0 0 0 0 0 22 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 12
197 0 0 111 0 0 0 0 22 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0
