PROBLEM1-20 PROBLEM1-40 PROBLEM1-80 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM2-60 PROBLEM4-20 PROBLEM4-40 PROBLEM4-60 PROBLEM5-20 PROBLEM5-40 PROBLEM5-60 PROBLEM4-80 PROBLEM4-100 PROBLEM5-80 PROBLEM7-20 PROBLEM7-40 PROBLEM7-60 START END 
0 194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 80
0 0 186 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 180 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 180
0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 17
0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18
274 0 0 0 26 0 0 41 0 0 30 0 0 0 0 0 20 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
