PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM3-20 PROBLEM3-40 PROBLEM2-20 PROBLEM2-40 PROBLEM2-80 PROBLEM2-60 PROBLEM3-60 START END 
0 91 0 0 0 0 0 0 0 0 0 0 0 201
0 0 16 60 0 0 0 0 0 0 0 0 0 20
0 0 0 0 6 0 0 0 0 0 0 0 0 22
0 0 12 0 5 0 0 0 0 0 0 0 0 43
0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 6 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 5 0 1
0 0 0 0 0 0 0 0 37 0 0 0 0 51
0 0 0 0 0 0 0 0 0 25 0 0 0 11
0 0 0 0 0 0 0 0 0 0 20 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 0 0 2
292 0 0 0 0 14 0 88 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
