PROBLEM1-20 PROBLEM2-20 PROBLEM1-40 PROBLEM1-80 PROBLEM1-100 PROBLEM2-40 PROBLEM2-80 PROBLEM2-60 PROBLEM3-20 PROBLEM3-40 PROBLEM4-20 PROBLEM4-40 PROBLEM4-60 PROBLEM7-20 PROBLEM7-40 START END 
0 0 164 0 0 0 0 0 0 0 0 0 0 0 0 0 126
0 0 0 0 0 169 0 0 0 0 0 0 0 0 0 0 71
0 0 0 93 0 0 0 0 0 0 0 0 0 0 0 0 69
0 0 0 0 94 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94
0 0 0 0 0 0 82 6 0 0 0 0 0 0 0 0 81
0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 41
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43
0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19
0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
290 240 0 0 0 0 0 0 32 0 9 0 0 7 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
