PROBLEM1-20 PROBLEM1-40 PROBLEM1-80 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM2-80 PROBLEM2-60 PROBLEM1-60 PROBLEM2-100 PROBLEM6-20 PROBLEM6-40 PROBLEM6-60 START END 
0 71 0 0 0 0 0 0 0 0 0 0 0 0 107
0 0 40 0 0 0 0 0 7 0 0 0 0 0 24
0 0 0 43 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 9 0 0 0 0 0 34
0 0 0 0 0 15 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 10 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 10 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 3 0 0 0 0 7
0 0 3 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 7 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 7 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
178 0 0 0 18 0 0 0 0 0 7 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
