PROBLEM1-20 PROBLEM1-40 PROBLEM1-80 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM2-80 PROBLEM2-60 PROBLEM1-60 PROBLEM2-100 PROBLEM6-20 PROBLEM6-40 PROBLEM6-60 PROBLEM8-20 PROBLEM8-40 PROBLEM8-60 PROBLEM6-80 PROBLEM6-100 START END 
0 109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 128
0 0 50 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 37
0 0 0 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 48
0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 19 8 0 0 0 0 0 0 0 0 0 0 0 16
0 0 0 0 0 0 0 19 0 3 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 13
0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14
0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
237 0 0 0 52 0 0 0 0 0 19 0 0 4 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
