PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM2-20 PROBLEM1-80 PROBLEM1-100 PROBLEM2-40 PROBLEM2-80 PROBLEM2-60 PROBLEM5-20 PROBLEM5-40 PROBLEM5-60 PROBLEM7-20 PROBLEM7-40 PROBLEM7-60 START END 
0 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 115
0 0 31 0 19 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 11
0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 121
0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38
0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
177 0 0 161 0 0 0 0 0 4 0 0 4 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
