PROBLEM1-20 PROBLEM1-40 PROBLEM1-80 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM2-80 PROBLEM2-60 PROBLEM6-20 PROBLEM6-40 PROBLEM6-60 PROBLEM8-20 PROBLEM8-40 START END 
0 527 0 0 0 0 0 0 0 0 0 0 0 0 199
0 0 126 0 0 0 0 0 0 0 0 0 0 0 391
0 0 0 116 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 121
0 0 0 0 0 388 0 0 0 0 0 0 0 0 82
0 0 0 0 0 0 70 32 0 0 0 0 0 0 303
0 0 0 0 0 0 0 49 0 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 0 0 0 61
0 0 0 0 0 0 0 0 0 83 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 51 0 0 0 32
0 0 0 0 0 0 0 0 0 0 0 0 0 0 50
0 0 0 0 0 0 0 0 0 0 0 0 17 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
726 0 0 0 470 0 0 0 86 0 0 18 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
