PROBLEM1-20 PROBLEM1-40 PROBLEM1-80 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM2-80 PROBLEM2-60 PROBLEM3-20 PROBLEM3-40 PROBLEM3-60 PROBLEM5-20 PROBLEM5-40 PROBLEM6-20 PROBLEM6-40 PROBLEM6-60 PROBLEM8-20 PROBLEM8-40 PROBLEM8-60 START END 
0 530 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 199
0 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 391
0 0 0 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124
0 0 0 0 0 393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82
0 0 0 0 0 0 74 32 0 0 0 0 0 0 0 0 0 0 0 0 304
0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62
0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 0 0 0 41
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
729 0 0 0 475 0 0 0 28 0 0 16 0 103 0 0 29 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
