PROBLEM1-20 PROBLEM1-40 PROBLEM1-80 PROBLEM1-60 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM2-60 PROBLEM2-80 PROBLEM8-20 PROBLEM8-40 PROBLEM8-60 START END 
0 125 0 0 0 0 0 0 0 0 0 0 0 166
0 0 44 24 0 0 0 0 0 0 0 0 0 77
0 0 0 11 28 0 0 0 0 0 0 0 0 5
0 0 0 0 11 0 0 0 0 0 0 0 0 10
0 0 0 0 0 0 0 0 0 0 0 0 0 33
0 0 0 0 0 0 23 0 0 0 0 0 0 1
0 0 0 0 0 0 0 23 0 0 0 0 0 0
0 0 0 0 0 0 0 0 22 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 3 0 0 0
0 0 0 0 0 0 0 0 0 0 0 3 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 2
291 0 0 0 0 24 0 0 0 3 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
