PROBLEM1-20 PROBLEM7-20 PROBLEM7-60 PROBLEM1-60 PROBLEM1-100 PROBLEM2-20 PROBLEM2-60 PROBLEM2-100 PROBLEM4-20 PROBLEM4-60 PROBLEM4-100 PROBLEM5-20 PROBLEM5-60 PROBLEM5-100 PROBLEM6-20 PROBLEM6-60 PROBLEM6-100 PROBLEM9-20 PROBLEM9-60 START END 
0 0 0 63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25
0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
87 5 0 3 0 19 0 0 10 0 0 4 0 0 9 0 0 7 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
