PROBLEM1-20 PROBLEM7-20 PROBLEM7-60 PROBLEM1-60 PROBLEM1-100 PROBLEM2-20 PROBLEM2-60 PROBLEM2-100 PROBLEM7-100 PROBLEM4-20 PROBLEM4-60 PROBLEM4-100 START END 
0 0 0 7 0 0 0 0 0 0 0 0 0 7
0 0 2 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 1
0 0 0 0 3 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1
12 2 0 0 0 1 0 0 0 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
