PROBLEM1-20 PROBLEM1-60 PROBLEM2-20 PROBLEM2-60 PROBLEM9-20 PROBLEM9-60 PROBLEM6-20 PROBLEM6-60 PROBLEM2-100 PROBLEM1-100 PROBLEM6-100 PROBLEM9-100 START END 
0 88 0 0 0 0 0 0 0 0 0 0 0 33
0 0 0 0 0 0 0 0 0 31 0 0 0 57
0 0 0 17 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 7 0 0 0 0 12
0 0 0 0 0 13 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 4 0 10
0 0 0 0 0 0 0 6 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 4 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 30
0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 4
114 7 20 2 14 1 7 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
