PROBLEM1-60 PROBLEM1-20 PROBLEM2-20 PROBLEM2-60 PROBLEM9-20 PROBLEM9-60 PROBLEM7-20 PROBLEM7-60 PROBLEM1-100 PROBLEM2-100 PROBLEM6-20 PROBLEM6-60 PROBLEM6-100 PROBLEM8-20 PROBLEM8-60 START END 
0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 42
68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 13
0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
5 75 25 3 9 0 7 0 0 0 6 1 0 4 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
