PROBLEM1-20 PROBLEM1-60 PROBLEM5-20 PROBLEM5-60 PROBLEM8-20 PROBLEM8-60 PROBLEM2-20 PROBLEM2-60 PROBLEM6-20 PROBLEM6-60 PROBLEM1-100 PROBLEM7-20 PROBLEM7-60 PROBLEM3-20 PROBLEM3-60 START END 
0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 18
0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
25 0 2 0 2 0 9 1 4 0 0 4 0 5 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
