PROBLEM1-20 PROBLEM9-20 PROBLEM9-60 PROBLEM1-60 PROBLEM2-20 PROBLEM2-60 PROBLEM8-20 PROBLEM8-60 PROBLEM7-20 PROBLEM7-60 PROBLEM1-100 PROBLEM2-100 START END 
0 0 0 49 0 0 0 0 0 0 0 0 0 16
0 0 2 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 17 0 0 27
0 0 0 0 0 11 0 0 0 0 0 0 0 16
0 0 0 0 0 0 0 0 0 0 0 4 0 7
0 0 0 0 0 0 0 3 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 5 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 17
0 0 0 0 0 0 0 0 0 0 0 0 0 4
60 2 0 0 27 0 3 0 5 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
