PROBLEM1-20 PROBLEM9-20 PROBLEM9-60 PROBLEM1-60 PROBLEM2-20 PROBLEM2-60 PROBLEM8-20 PROBLEM8-60 PROBLEM3-20 PROBLEM3-60 PROBLEM7-20 PROBLEM7-60 PROBLEM1-100 PROBLEM4-20 PROBLEM4-60 PROBLEM2-100 START END 
0 0 0 61 0 0 0 0 0 0 0 0 0 0 0 0 0 17
0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 31
0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 17
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 10
0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
72 3 0 0 32 0 4 0 4 0 7 0 0 3 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
