PROBLEM1-20 PROBLEM3-20 PROBLEM3-60 PROBLEM1-60 PROBLEM4-20 PROBLEM4-60 PROBLEM6-20 PROBLEM6-60 PROBLEM2-20 PROBLEM2-60 PROBLEM7-20 PROBLEM7-60 PROBLEM1-100 START END 
0 0 0 40 0 0 0 0 0 0 0 0 0 0 20
0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 4 0 31
0 0 0 0 0 4 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 12 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 6 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
55 2 0 0 4 0 3 0 10 0 6 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
