PROBLEM9-60 PROBLEM1-20 PROBLEM3-20 PROBLEM3-60 PROBLEM1-60 PROBLEM4-20 PROBLEM4-60 PROBLEM6-20 PROBLEM6-60 PROBLEM2-20 PROBLEM2-60 PROBLEM7-20 PROBLEM7-60 PROBLEM2-100 PROBLEM1-100 PROBLEM9-20 PROBLEM3-100 PROBLEM6-100 PROBLEM7-100 START END 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23
0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 64
0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 7
0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 24
0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 11
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
2 112 10 3 15 6 0 12 1 40 4 17 1 0 0 10 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
