PROBLEM1-20 PROBLEM1-60 PROBLEM2-20 PROBLEM2-60 PROBLEM1-100 PROBLEM5-20 PROBLEM5-60 PROBLEM5-100 PROBLEM6-20 PROBLEM6-60 PROBLEM9-20 PROBLEM9-60 PROBLEM9-100 PROBLEM8-20 PROBLEM8-60 START END 
0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 54
0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 14
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11
0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
40 26 27 12 0 6 5 0 8 4 9 1 0 4 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
