PROBLEM1-20 PROBLEM1-60 PROBLEM3-20 PROBLEM3-60 PROBLEM9-20 PROBLEM9-60 PROBLEM2-20 PROBLEM2-60 PROBLEM1-100 PROBLEM6-20 PROBLEM6-60 PROBLEM6-100 PROBLEM7-20 PROBLEM7-60 PROBLEM9-100 PROBLEM3-100 PROBLEM2-100 START END 
0 101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74
0 0 0 0 0 0 0 0 79 0 0 0 0 0 0 0 0 0 52
0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 7
0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 15
0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 7
0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 19
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 79
0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18
0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27
175 31 12 6 27 7 42 16 0 17 6 0 10 1 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
