PROBLEM1-20 PROBLEM1-60 PROBLEM3-20 PROBLEM3-60 PROBLEM9-20 PROBLEM9-60 PROBLEM2-20 PROBLEM2-60 PROBLEM1-100 PROBLEM6-20 PROBLEM6-60 PROBLEM6-100 PROBLEM7-20 PROBLEM7-60 PROBLEM9-100 PROBLEM3-100 PROBLEM2-100 START END 
0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 64
0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 15
0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 2
0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 3
0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18
0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
97 0 7 0 7 0 7 0 0 10 0 0 3 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
