PROBLEM1-20 PROBLEM2-20 PROBLEM3-20 PROBLEM1-40 PROBLEM1-60 PROBLEM2-40 PROBLEM1-80 PROBLEM1-100 PROBLEM2-60 PROBLEM2-80 PROBLEM2-100 PROBLEM3-40 PROBLEM3-60 START END 
0 0 0 73 0 0 0 0 0 0 0 0 0 0 129
0 0 0 0 0 5 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 24 0 0 1
0 0 0 0 13 0 0 0 0 0 0 0 0 0 60
0 0 0 0 0 0 8 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 3 0 0 0 0 0 2
0 0 0 0 0 0 0 6 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 17 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 15
202 9 25 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
