PROBLEM1-20 PROBLEM4-20 PROBLEM4-40 PROBLEM1-40 PROBLEM2-20 PROBLEM2-40 PROBLEM5-20 PROBLEM5-40 PROBLEM3-20 PROBLEM3-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM2-60 PROBLEM3-60 PROBLEM4-60 PROBLEM5-60 PROBLEM5-80 PROBLEM5-100 PROBLEM6-20 PROBLEM6-40 PROBLEM6-60 PROBLEM7-20 PROBLEM7-40 PROBLEM8-20 PROBLEM8-40 PROBLEM8-60 PROBLEM8-80 PROBLEM9-20 PROBLEM9-40 PROBLEM7-60 PROBLEM6-80 PROBLEM7-80 PROBLEM7-100 PROBLEM8-100 PROBLEM9-60 PROBLEM9-80 PROBLEM9-100 START END 
0 0 0 159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38
0 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23
0 0 0 0 0 0 0 0 0 0 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70
0 0 0 0 0 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 106
0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
