PROBLEM1-20 PROBLEM2-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM2-40 PROBLEM2-60 PROBLEM2-80 PROBLEM2-100 PROBLEM3-20 PROBLEM3-40 PROBLEM3-60 START END 
0 0 44 0 0 0 0 0 0 0 0 0 0 0 86
0 0 0 0 0 0 6 0 0 0 0 0 0 0 12
0 0 0 20 0 0 0 0 0 0 0 0 0 0 24
0 0 0 0 17 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 16 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 6 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 44 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 15 0 29
0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
130 18 0 0 0 0 0 0 0 0 45 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
