PROBLEM5-20 PROBLEM5-40 PROBLEM5-60 PROBLEM7-20 PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM8-20 PROBLEM8-40 PROBLEM8-60 PROBLEM8-80 PROBLEM7-40 PROBLEM7-60 START END 
0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 88
0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 18
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 6
0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 19
0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11
0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 33
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
124 0 0 46 24 0 0 0 0 33 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
