PROBLEM5-20 PROBLEM5-40 PROBLEM5-60 PROBLEM7-20 PROBLEM5-80 PROBLEM5-100 PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM8-20 PROBLEM8-40 PROBLEM8-60 PROBLEM8-80 PROBLEM7-40 PROBLEM7-60 PROBLEM7-80 PROBLEM7-100 START END 
0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 89
0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22
0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 6
0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17
0 0 0 0 0 0 0 0 0 0 0 0 71 0 0 0 0 0 0 0 52
0 0 0 0 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 33
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
132 0 0 50 0 0 26 0 0 0 0 123 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
