PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-100 PROBLEM1-80 PROBLEM4-20 PROBLEM4-40 PROBLEM4-60 PROBLEM4-80 PROBLEM4-100 PROBLEM5-20 PROBLEM5-40 PROBLEM5-60 PROBLEM5-80 PROBLEM5-100 START END 
0 161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 145 0 0 0 0 0 0 0 0 0 0 0 0 0 30
0 0 0 0 79 0 0 0 0 0 0 0 0 0 0 0 71
0 14 14 0 0 0 0 0 0 0 0 0 0 0 0 0 56
0 0 0 86 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11
0 0 0 0 0 0 0 0 0 0 0 61 22 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 82 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 80 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 0 0 86 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65
161 0 0 0 0 23 0 0 0 0 85 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
