PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-100 PROBLEM1-80 PROBLEM4-60 PROBLEM4-80 PROBLEM4-100 PROBLEM5-20 PROBLEM5-40 PROBLEM5-60 PROBLEM5-80 PROBLEM5-100 START END 
0 209 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 189 0 0 0 0 0 0 0 0 0 0 0 34
0 0 0 34 79 0 0 0 0 0 0 0 0 0 90
0 0 0 0 16 0 0 0 0 0 0 0 0 0 81
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 21 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 26 0 0 0 0 0 0 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 11
0 0 0 0 0 0 0 0 0 68 24 0 0 0 2
0 0 0 0 0 0 0 0 0 0 92 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 90 0 0 12
0 0 0 0 0 0 0 0 0 0 0 0 96 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 74
210 0 0 0 0 0 0 0 94 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
