PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM1-60 PROBLEM2-20 PROBLEM2-40 PROBLEM2-60 PROBLEM2-80 PROBLEM2-100 PROBLEM5-20 PROBLEM5-40 PROBLEM5-60 PROBLEM5-80 PROBLEM5-100 START END 
0 174 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 30 114 0 0 0 0 0 0 0 0 0 0 0 30
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59
0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 85
0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 37
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 68 20 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 89 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 87 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 112 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 88
174 0 0 0 45 0 0 0 0 88 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
