PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM2-60 PROBLEM2-80 PROBLEM2-100 PROBLEM3-20 PROBLEM3-60 PROBLEM3-40 PROBLEM3-80 START END 
0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 22 18 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25
0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0
0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
30 0 0 0 0 24 0 0 0 0 9 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
