PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-100 PROBLEM1-80 PROBLEM2-20 PROBLEM2-40 PROBLEM2-60 PROBLEM2-80 PROBLEM2-100 PROBLEM3-60 PROBLEM3-80 START END 
0 67 0 0 0 0 0 0 0 0 0 0 0 1
0 0 64 0 0 0 0 0 0 0 0 0 0 4
0 0 0 48 13 0 0 0 0 0 0 0 0 4
0 0 0 0 26 0 0 0 0 0 0 0 0 59
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 23 0 0 0 0 0 0 0
0 0 0 0 0 0 0 24 0 0 0 0 0 0
0 0 0 0 0 0 0 0 24 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 10 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 9
68 0 0 0 0 24 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
