PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-100 PROBLEM1-80 PROBLEM2-20 PROBLEM2-40 PROBLEM2-60 PROBLEM3-20 PROBLEM3-40 PROBLEM3-60 PROBLEM3-80 PROBLEM3-100 START END 
0 63 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 51 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 17 0 0 0 0 0 0 0 0 0 0 41
0 0 0 0 8 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 19 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 23 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 33 36 0 0 0 0
0 0 0 0 0 0 0 0 0 0 33 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 68 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 72 0 13
0 0 0 0 0 0 0 0 0 0 0 0 0 0 19
63 0 0 0 0 23 0 0 32 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
