PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM2-60 PROBLEM2-80 PROBLEM3-20 PROBLEM3-40 PROBLEM3-60 PROBLEM5-20 PROBLEM5-40 PROBLEM5-60 PROBLEM5-80 PROBLEM3-80 START END 
0 108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19
0 0 0 37 14 0 0 0 0 0 0 0 0 0 0 0 0 0 44
0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 18
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27
0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12
0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
109 0 0 0 0 16 0 0 0 12 0 0 12 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
