PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-100 PROBLEM1-80 PROBLEM6-20 PROBLEM6-40 PROBLEM6-60 PROBLEM6-100 PROBLEM6-80 PROBLEM7-20 PROBLEM7-40 PROBLEM7-60 PROBLEM7-100 PROBLEM7-80 START END 
0 142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 164 0 0 0 0 0 0 0 0 0 0 0 0 0 28
0 0 0 81 0 0 0 0 0 0 0 0 0 0 0 0 32
0 0 0 0 59 0 0 0 0 0 0 0 0 0 0 0 81
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 14
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
146 0 0 0 0 9 0 0 0 0 26 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
